Town,Founded,Formed from,County,"Pop.
(2020)","Land
(sq mi)","Water
(sq mi)",Coordinates,"GEO ID
(FIPS code)","ANSI code
(GNIS ID)"
Irondequoit,1839,Brighton,Monroe,"51,043",15.001,1.833,"43.209811, -77.572056",3605537726,979095
Ischua,1846,Hinsdale,Cattaraugus,736,32.377,0.021,"42.237873, -78.384533",3600937825,979096
Islip,1788,Precincts of Islip,Suffolk,"339,938",104.114,58.891,"40.712577, -73.195524",3610338000,979097
Italy,1815,Naples,Yates,"1,099",40.140,0.122,"42.618889, -77.312149",3612338044,979098
Ithaca,1821,Ulysses,Tompkins,"22,283",28.946,1.340,"42.413898, -76.540186",3610938088,979100
Jackson,1815,Cambridge,Washington,"1,723",37.160,0.406,"43.080457, -73.383276",3611538143,979101
Jasper,1837,Canisteo and Troupsburg,Steuben,"1,418",52.644,0.023,"42.144268, -77.531889",3610138319,979103
Java,1832,China,Wyoming,"1,972",47.128,0.202,"42.651832, -78.386663",3612138341,979104
Jay,1798,Willsboro,Essex,"2,486",67.688,0.421,"44.377625, -73.696474",3603138396,979105
Jefferson,1803,Blenheim,Schoharie,"1,333",43.251,0.163,"42.489666, -74.607360",3609538440,979106
Jerusalem,1789,,Yates,"4,405",58.639,6.762,"42.612928, -77.157943",3612338583,979107
Jewett,1849,Hunter and Lexington,Greene,879,50.323,0.199,"42.237830, -74.231016",3603938638,979108
Johnsburg,1805,Thurman,Warren,"2,143",203.976,2.768,"43.657786, -74.065037",3611338715,979109
Johnstown,1793,Caughnawaga,Fulton,"6,867",70.214,1.082,"43.044322, -74.398332",3603538792,979111
Junius,1803,Fayette,Seneca,"1,388",26.709,0.145,"42.971850, -76.908841",3609938858,979112
Keene,1808,Elizabethtown and Jay,Essex,"1,144",155.941,0.676,"44.122758, -73.883516",3603139067,979113
Kendall,1837,Murray,Orleans,"2,617",32.857,0.061,"43.329114, -78.051662",3607339188,979114
Kent,1788,Fredericksburgh Patent,Putnam,"12,900",40.504,2.822,"41.459239, -73.725148",3607939331,979740
Kiantone,1853,Carroll,Chautauqua,"1,397",18.397,0.140,"42.027070, -79.193096",3601339507,979115
Kinderhook,1788,Kinderhook District,Columbia,"8,330",31.806,0.607,"42.411289, -73.682656",3602139573,979116
Kingsbury,1788,Kingsbury township,Washington,"12,968",39.678,0.327,"43.335201, -73.551426",3611539650,979117
Kingston,1788,Kingston Township,Ulster,933,7.702,0.048,"41.978144, -74.038662",3611139738,979119
Kirkland,1827,Paris,Oneida,"10,075",33.783,0.051,"43.036731, -75.384504",3606539804,979120
Kirkwood,1859,Conklin,Broome,"5,481",30.795,0.397,"42.091575, -75.799360",3600739837,979121
Knox,1822,Berne,Albany,"2,635",41.762,0.174,"42.685353, -74.105633",3600140002,979122
Kortright,1793,Harpersfield,Delaware,"1,544",62.451,0.182,"42.402723, -74.781344",3602540068,979123
LaFayette,1825,Onondaga and Pompey,Onondaga,"4,910",39.233,0.413,"42.907651, -76.103328",3606740266,979125
LaGrange (La Grange),1821,Beekman and Fishkill,Dutchess,"15,975",39.879,0.470,"41.684927, -73.795750",3602740299,979126
Lake George,1810,"Bolton, Queensbury and Thurman",Warren,"3,502",30.069,2.549,"43.435002, -73.720924",3611340519,979127
Lake Luzerne,1792,Queensbury,Warren,"3,079",52.519,1.540,"43.345954, -73.789719",3611340662,979128
Lake Pleasant,1812,Johnstown,Hamilton,897,187.984,10.000,"43.578905, -74.424033",3604140794,979129
Lancaster,1833,Clarence,Erie,"45,106",37.703,0.234,"42.910914, -78.632214",3602941146,979130
Lansing,1817,Genoa,Tompkins,"11,565",60.490,9.452,"42.566527, -76.531984",3610941234,979131
Lapeer,1845,Virgil,Cortland,795,25.039,0.143,"42.455992, -76.112211",3602341300,979132
Laurens,1810,Otsego,Otsego,"2,311",42.049,0.119,"42.535705, -75.118079",3607741531,979133
Lawrence,1828,Brasher and Hopkinton,St. Lawrence,"1,715",47.610,0.058,"44.745606, -74.676345",3608941564,979134
Le Ray,1806,Brownville,Jefferson,"25,574",73.643,0.361,"44.078729, -75.795815",3604542015,979141
Le Roy,1812,Caledonia,Genesee,"7,662",42.084,0.090,"42.992655, -77.966199",3603742037,979142
Lebanon,1807,Hamilton,Madison,"1,326",43.344,0.336,"42.780128, -75.626215",3605341674,979135
Ledyard,1823,Scipio,Cayuga,"1,655",36.112,12.469,"42.745344, -76.674047",3601141740,979136
Lee,1811,Western,Oneida,"6,171",45.106,0.447,"43.325161, -75.518579",3606541762,979137
Leicester,1802,,Livingston,"2,082",33.929,0.004,"42.760288, -77.904502",3605141883,979138
Lenox,1809,Sullivan,Madison,"8,768",36.243,0.023,"43.111571, -75.756992",3605341905,979139
Leon,1832,Conewango,Cattaraugus,"1,244",36.182,0.027,"42.300481, -79.001361",3600941982,979140
Lewis,1805,Willsboro,Essex,"1,293",84.790,0.210,"44.318369, -73.581246",3603142114,979143
Lewis,1852,Leyden and West Turin,Lewis,844,64.607,0.542,"43.490911, -75.558906",3604942125,979144
Lewisboro,1788,,Westchester,"12,265",27.746,1.416,"41.266160, -73.588251",3611942136,979145
Lewiston,1818,Cambria,Niagara,"15,944",37.121,4.010,"43.184149, -78.951416",3606342158,979146
Lexington,1813,Windham,Greene,770,79.686,0.037,"42.209047, -74.333452",3603942202,979147
Leyden,1797,Steuben,Lewis,"1,572",33.330,0.222,"43.534488, -75.382362",3604942213,979148
Liberty,1807,Lumberland,Sullivan,"10,159",79.579,1.158,"41.811822, -74.779789",3610542235,979149
Lima,1789,,Livingston,"4,154",31.891,0.053,"42.895889, -77.608672",3605142334,979150
Lincklaen,1823,German,Chenango,361,26.263,0.011,"42.677344, -75.843763",3601742411,979151
Lincoln,1896,Lenox,Madison,"1,802",24.999,0.059,"43.032236, -75.733805",3605342422,979152
Lindley,1837,Erwin,Steuben,"1,813",37.597,0.271,"42.037857, -77.148523",3610142576,979153
Lisbon,1801,,St. Lawrence,"4,221",108.280,5.636,"44.696518, -75.305716",3608942631,979154
Lisle,1801,Union,Broome,"2,691",46.894,0.090,"42.379304, -76.055997",3600742653,979155
Litchfield,1796,German Flatts,Herkimer,"1,444",29.992,0.061,"42.967722, -75.163817",3604342664,979156
Little Falls,1829,Herkimer,Herkimer,"1,497",22.340,0.163,"43.018379, -74.894737",3604342752,979158
Little Valley,1818,Perry,Cattaraugus,"1,675",29.787,0.006,"42.224471, -78.759228",3600942840,979159
Livingston,1788,Manor of Livingston District,Columbia,"3,628",38.163,0.784,"42.138944, -73.797118",3602142917,979160
Livonia,1808,Pittstown,Livingston,"7,497",38.262,2.812,"42.809081, -77.653652",3605142961,979161
Lloyd,1845,New Paltz,Ulster,"11,133",31.266,2.019,"41.713907, -73.995071",3611142994,979162
Locke,1802,Milton,Cayuga,"1,879",24.305,0.105,"42.654563, -76.419295",3601143071,979163
Lockport,1824,Cambria and Royalton,Niagara,"20,563",44.843,0.052,"43.149249, -78.688845",3606343093,979165
Lodi,1826,Covert,Seneca,"1,482",34.190,5.574,"42.591920, -76.831428",3609943225,979166
Long Lake,1837,"Arietta, Lake Pleasant, Morehouse and Wells",Hamilton,791,407.033,42.804,"43.959554, -74.649161",3604143412,979168
Lorraine,1804,Mexico,Jefferson,924,38.979,0.018,"43.746703, -75.978134",3604543544,979169
Louisville,1810,Massena,St. Lawrence,"3,050",48.525,15.342,"44.907722, -75.012207",3608943588,979170
Lowville,1800,Mexico,Lewis,"4,888",37.834,0.291,"43.813957, -75.518200",3604943731,979171
Lumberland,1798,Mamakating,Sullivan,"2,243",46.539,2.807,"41.492424, -74.812220",3610543786,979172
Lyme,1818,Brownville,Jefferson,"2,299",55.813,51.178,"44.024801, -76.228673",3604543863,979173
Lyndon,1829,Franklinville,Cattaraugus,685,33.231,0.036,"42.310646, -78.375278",3600943896,979174
Lyons,1811,Sodus,Wayne,"5,679",37.485,0.111,"43.093076, -77.003860",3611743973,979175
Lyonsdale,1873,Greig,Lewis,"1,170",68.743,1.362,"43.589518, -75.242417",3604943995,979176
Lysander,1794,,Onondaga,"23,074",61.715,2.894,"43.184174, -76.373925",3606744039,979177
Macedon,1823,Palmyra,Wayne,"9,270",38.681,0.177,"43.078887, -77.310520",3611744160,979179
Machias,1827,Yorkshire,Cattaraugus,"2,310",40.429,0.649,"42.397788, -78.506904",3600944237,979180
Macomb,1841,Gouverneur and Morristown,St. Lawrence,912,60.717,2.428,"44.438707, -75.571306",3608944391,979181
Madison,1807,Hamilton,Madison,"2,766",40.813,0.576,"42.892391, -75.500514",3605344435,979182
Madrid,1802,Lisbon,St. Lawrence,"1,744",52.984,0.598,"44.770755, -75.128545",3608944490,979183
Maine,1848,Union,Broome,"5,168",45.643,0.117,"42.196117, -76.016638",3600744611,979184
Malone,1805,Chateaugay,Franklin,"12,433",101.519,1.283,"44.795395, -74.287115",3603344721,979185
Malta,1802,Stillwater,Saratoga,"17,130",27.922,3.532,"42.982275, -73.789043",3609144743,979186
Mamakating,1788,,Sullivan,"12,655",96.108,2.561,"41.588001, -74.496288",3610544809,979187
Mamaroneck,1788,,Westchester,"31,758",6.654,7.410,"40.921287, -73.744138",3611944842,979188
Manchester,1822,Farmington,Ontario,"9,404",37.818,0.032,"42.987045, -77.194148",3606944864,979189
Manheim,1797,Palatine,Herkimer,"3,082",29.136,0.557,"43.058519, -74.799676",3604344974,979191
Manlius,1794,,Onondaga,"33,712",49.218,0.735,"43.052883, -75.980733",3606745029,979192
Mansfield,1830,Little Valley,Cattaraugus,843,40.126,0.031,"42.304609, -78.766918",3600945161,979193
Marathon,1818,Cincinnatus,Cortland,"2,038",24.937,0.133,"42.428479, -76.002973",3602345403,979194
Marbletown,1788,Marbletown Patent,Ulster,"5,658",54.471,0.709,"41.873887, -74.164153",3611145458,979195
Marcellus,1794,,Onondaga,"6,066",32.445,0.140,"42.942677, -76.323323",3606745491,979196
Marcy,1832,Deerfield,Oneida,"8,777",32.890,0.428,"43.172612, -75.267738",3606545535,979197
Marilla,1853,Alden and Wales,Erie,"5,189",27.505,0.038,"42.824491, -78.528331",3602945601,979198
Marion,1825,Williamson,Wayne,"4,566",29.147,0.103,"43.166014, -77.191350",3611745645,979199
Marlborough,1788,Marlborough Precinct,Ulster,"8,712",24.470,2.029,"41.636294, -73.987100",3611145722,979200
Marshall,1829,Kirkland,Oneida,"1,966",32.802,0.000,"42.967126, -75.386204",3606545755,979201
Martinsburg,1803,Turin,Lewis,"1,316",75.684,0.351,"43.726107, -75.540138",3604945854,979202
Maryland,1808,Worcester,Otsego,"1,760",52.406,0.135,"42.550963, -74.865957",3607745920,979203
Masonville,1811,Sidney,Delaware,"1,239",54.264,0.179,"42.229093, -75.342442",3602545964,979204
Massena,1802,Lisbon,St. Lawrence,"12,433",44.369,11.774,"44.962020, -74.834650",3608946030,979205
Mayfield,1793,Caughnawaga,Fulton,"6,146",58.385,6.299,"43.124810, -74.262935",3603546217,979206
McDonough,1816,Preston,Chenango,797,39.038,0.593,"42.501710, -75.728039",3601744127,979178
Mendon,1812,Bloomfield,Monroe,"9,095",39.472,0.515,"42.982472, -77.555620",3605546558,979208
Mentz,1802,Aurelius,Cayuga,"2,114",16.922,0.260,"43.040542, -76.633638",3601146602,979209
Meredith,1800,Franklin and Kortright,Delaware,"1,484",58.102,0.214,"42.365138, -74.938997",3602546624,979210
Mexico,1792,Whitestown,Oswego,"5,259",46.272,0.717,"43.455062, -76.204628",3607546822,979211
Middleburgh,1797,Schoharie,Schoharie,"3,112",49.111,0.098,"42.621269, -74.312498",3609546855,979212
Middlebury,1812,Warsaw,Wyoming,"1,339",35.643,0.025,"42.824030, -78.133264",3612146877,979213
Middlefield,1797,Cherry Valley,Otsego,"1,882",63.334,0.371,"42.697002, -74.855985",3607746910,979214
Middlesex,1796,,Yates,"1,377",30.875,3.229,"42.718043, -77.289257",3612347020,979215
Middletown,1789,Rochester and Woodstock,Delaware,"3,336",96.674,0.620,"42.160406, -74.628090",3602547031,979216
Milan,1818,North East,Dutchess,"2,245",36.109,0.468,"41.978094, -73.783015",3602747207,979218
Milford,1796,Unadilla,Otsego,"2,827",46.117,1.030,"42.546091, -74.979126",3607747240,979219
Milo,1818,Benton,Yates,"6,803",38.434,5.901,"42.610474, -77.007902",3612347504,979220
Milton,1792,Ballston,Saratoga,"18,800",35.690,0.064,"43.045801, -73.898137",3609147537,979221
Mina,1824,Clymer,Chautauqua,"1,007",35.817,0.511,"42.124592, -79.699979",3601347592,979222
Minden,1798,Canajoharie,Montgomery,"4,166",50.988,0.449,"42.931443, -74.696500",3605747614,979223
Minerva,1817,Schroon,Essex,773,156.766,3.508,"43.855335, -74.118459",3603147669,979224
Minetto,1916,Oswego,Oswego,"1,643",5.762,0.279,"43.398731, -76.481313",3607547691,979225
Minisink,1788,Goshen Precinct,Orange,"4,621",23.029,0.144,"41.324048, -74.541192",3607147713,979226
Mohawk,1837,Johnstown,Montgomery,"3,572",34.681,0.712,"42.956072, -74.401834",3605747834,979227
Moira,1828,Dickinson,Franklin,"2,916",45.228,0.000,"44.829578, -74.558807",3603347933,979228
Monroe,1799,Cornwall,Orange,"21,387",18.545,1.280,"41.304162, -74.195149",3607147999,979229
Montague,1850,West Turin,Lewis,97,65.174,0.163,"43.715389, -75.716896",3604948032,979230
Montezuma,1859,Mentz,Cayuga,"1,177",18.242,0.473,"43.013839, -76.697713",3601148131,979231
Montgomery,1788,Montgomery Precinct,Orange,"23,322",50.256,0.933,"41.539832, -74.209619",3607148153,979232
Montour,1860,Catharine,Schuyler,"2,323",18.579,0.005,"42.339941, -76.826462",3609748186,979233
Mooers,1804,Champlain,Clinton,"3,467",87.632,0.290,"44.956357, -73.658432",3601948252,979234
Moravia,1833,Sempronius,Cayuga,"3,323",28.884,0.753,"42.734243, -76.412216",3601148307,979235
Moreau,1805,Northumberland,Saratoga,"16,202",41.924,1.657,"43.247423, -73.665699",3609148318,979236
Morehouse,1835,Lake Pleasant,Hamilton,92,191.064,3.705,"43.447326, -74.694618",3604148340,979237
Moriah,1808,Elizabethtown,Essex,"4,716",64.491,6.619,"44.054967, -73.532619",3603148428,979238
Morris,1849,Butternuts,Otsego,"1,735",39.067,0.126,"42.542840, -75.264076",3607748494,979239
Morristown,1821,Oswegatchie,St. Lawrence,"2,082",45.721,13.724,"44.530931, -75.634507",3608948582,979240
Mount Hope,1825,Deerpark and Wallkill,Orange,"6,537",25.134,0.362,"41.457255, -74.526761",3607148857,979241
Mount Kisco,1978,Bedford and New Castle,Westchester,"10,959",3.035,0.030,"41.201696, -73.728258",3611948895,979242
Mount Morris,1818,Leicester,Livingston,"4,435",50.205,0.106,"42.664871, -77.904533",3605148956,979243
Mount Pleasant,1788,,Westchester,"44,436",27.423,5.335,"41.098212, -73.822328",3611949011,979244
Murray,1808,Northampton,Orleans,"4,796",31.059,0.040,"43.258470, -78.057139",3607349286,979246
Nanticoke,1831,Lisle,Broome,"1,581",24.270,0.089,"42.284937, -76.026586",3600749396,979247
Naples,1789,,Ontario,"2,403",39.685,0.000,"42.624554, -77.432501",3606949440,979248
Napoli,1823,Little Valley,Cattaraugus,"1,171",36.375,0.170,"42.212802, -78.884569",3600949462,979249
Nassau,1806,"Petersburgh, Schodack and Stephentown",Rensselaer,"4,545",44.444,0.792,"42.547941, -73.544568",3608349517,979250
Nelson,1807,Cazenovia,Madison,"1,890",43.060,0.996,"42.885733, -75.745149",3605349770,979251
Neversink,1798,Rochester,Sullivan,"3,366",82.773,3.491,"41.865968, -74.590457",3610549847,979252
New Albion,1830,Little Valley,Cattaraugus,"1,981",35.629,0.194,"42.306800, -78.889687",3600949880,979253
New Baltimore,1811,Coxsackie,Greene,"3,226",41.427,1.601,"42.420048, -73.862587",3603949935,979255
New Berlin,1807,Norwich,Chenango,"2,525",46.134,0.440,"42.592026, -75.386612",3601749957,979256
New Bremen,1848,Croghan and Watson,Lewis,"2,785",55.589,0.200,"43.851984, -75.368301",3604950001,979257
New Castle,1791,North Castle,Westchester,"18,311",23.236,0.383,"41.182534, -73.772847",3611950078,979260
New Hartford,1827,Whitestown,Oneida,"21,874",25.357,0.118,"43.057841, -75.281803",3606550309,979264
New Haven,1813,Mexico,Oswego,"2,931",31.099,2.315,"43.471604, -76.317562",3607550342,979265
New Hudson,1825,Rushford,Allegany,792,36.195,0.124,"42.285310, -78.253007",3600350375,979266
New Lebanon,1818,Canaan,Columbia,"2,514",35.857,0.116,"42.470550, -73.444812",3602150452,979267
New Lisbon,1806,Pittsfield,Otsego,"1,084",44.355,0.301,"42.624535, -75.133503",3607750485,979268
New Paltz,1788,New Paltz Patent,Ulster,"14,407",33.875,0.432,"41.764040, -74.089495",3611150562,979269
New Scotland,1832,Bethlehem,Albany,"9,096",57.499,0.470,"42.603490, -73.939215",3600150672,979272
New Windsor,1788,New Windsor Precinct,Orange,"27,805",34.070,2.994,"41.474548, -74.110922",3607150848,979274
Newark Valley,1823,Berkshire,Tioga,"3,642",50.295,0.100,"42.234926, -76.164054",3610749913,979254
Newburgh,1788,Newburgh Precinct,Orange,"31,985",42.678,4.265,"41.557401, -74.057242",3607150045,979259
Newcomb,1828,Minerva and Moriah,Essex,418,226.271,6.898,"44.007172, -74.099920",3603150144,979261
Newfane,1824,"Hartland, Somerset and Wilson",Niagara,"9,304",51.823,1.657,"43.290183, -78.692824",3606350232,979262
Newfield,1811,Spencer,Tompkins,"5,126",58.841,0.127,"42.337140, -76.610245",3610950254,979263
Newport,1805,"Fairfield, Herkimer, Norway and Schuyler",Herkimer,"2,140",32.009,0.443,"43.178280, -75.035993",3604350584,979270
Newstead,1823,Clarence,Erie,"8,689",50.759,0.286,"43.016832, -78.521355",3602950716,979273
Niagara,1812,Cambria,Niagara,"7,903",9.484,0.000,"43.115446, -78.980980",3606351033,979275
Nichols,1824,Tioga,Tioga,"2,347",33.727,0.938,"42.034436, -76.348183",3610751121,979277
Niles,1833,Sempronius,Cayuga,"1,137",38.975,4.376,"42.817220, -76.404435",3601151198,979278
Niskayuna,1809,Watervliet,Schenectady,"23,278",14.152,0.890,"42.803082, -73.873518",3609351264,979279
Norfolk,1869,Louisville,St. Lawrence,"4,453",56.740,1.004,"44.835018, -74.933952",3608951330,979280
North Castle,1788,,Westchester,"12,408",23.757,2.604,"41.136327, -73.690502",3611951693,979282
North Collins,1852,Collins,Erie,"3,504",42.854,0.173,"42.573346, -78.859472",3602951803,979283
North Dansville,1846,Sparta,Livingston,"5,321",9.859,0.000,"42.558340, -77.691505",3605151869,979284
North East,1788,North Precinct,Dutchess,"2,971",43.163,0.559,"41.945843, -73.546630",3602751891,979285
North Elba,1849,Keene,Essex,"7,480",151.654,4.737,"44.206113, -74.046280",3603151935,979286
North Greenbush,1855,Greenbush,Rensselaer,"13,292",18.545,0.363,"42.673448, -73.668381",3608352100,979287
North Harmony,1918,Harmony,Chautauqua,"2,192",42.133,0.023,"42.125557, -79.463345",3601352155,979288
North Hempstead,1788,North Hempstead Patent,Nassau,"237,639",53.512,15.598,"40.803357, -73.678402",3605953000,979289
North Hudson,1848,Moriah,Essex,250,181.452,3.218,"44.027010, -73.758053",3603153077,979290
North Norwich,1849,Norwich,Chenango,"1,664",28.142,0.102,"42.590088, -75.508076",3601753297,979291
North Salem,1788,,Westchester,"5,243",21.326,1.519,"41.340527, -73.597609",3611953517,979292
Northampton,1799,Broadalbin,Fulton,"2,472",21.116,13.613,"43.157631, -74.171313",3603551407,979281
Northumberland,1798,Saratoga,Saratoga,"5,242",32.299,0.619,"43.162315, -73.628333",3609153737,979294
Norway,1792,Herkimer,Herkimer,740,35.560,0.273,"43.230908, -74.950873",3604353968,979295
Norwich,1793,Jericho and Union,Chenango,"3,599",41.963,0.075,"42.510875, -75.485910",3601753990,979297
Nunda,1808,Angelica,Livingston,"2,688",37.094,0.027,"42.572208, -77.882896",3605154089,979298
Oakfield,1842,Elba,Genesee,"3,145",23.309,0.624,"43.084919, -78.274609",3603754166,979299
Ogden,1817,Parma,Monroe,"20,270",36.476,0.257,"43.170256, -77.814379",3605554474,979300
Ohio,1823,Norway,Herkimer,962,301.344,6.227,"43.461635, -74.894694",3604354507,979302
Olean,1808,Batavia,Cattaraugus,"1,881",29.609,0.127,"42.061319, -78.424466",3600954727,979306
Olive,1823,"Hurley, Marbletown and Shandaken",Ulster,"4,226",58.450,6.743,"41.947232, -74.265447",3611154749,979307
Oneonta,1830,Milford and Otego,Otsego,"5,065",32.911,0.252,"42.425124, -75.099877",3607754892,979310
Onondaga,1798,"Manlius, Marcellus and Pompey",Onondaga,"22,937",57.741,0.096,"42.980793, -76.223386",3606754958,979311
Ontario,1807,Williamson,Wayne,"10,446",32.412,0.086,"43.245527, -77.315958",3611755013,979313
Oppenheim,1808,Palatine,Fulton,"1,751",56.134,0.306,"43.082177, -74.671976",3603555101,979314
Orange,1813,Wayne,Schuyler,"1,408",54.069,0.385,"42.342520, -77.035679",3609755156,979315
Orangetown,1788,,Rockland,"48,655",24.098,7.268,"41.053687, -73.948090",3608755211,979316
Orangeville,1816,Attica,Wyoming,"1,283",35.560,0.082,"42.743585, -78.252437",3612155222,979317
Orchard Park,1850,Hamburg,Erie,"29,686",38.440,0.079,"42.752803, -78.739697",3602955277,979318
Orleans,1821,Brownville,Jefferson,"2,788",71.423,6.620,"44.224057, -75.954704",3604555398,979319
Orwell,1817,Richland,Oswego,"1,077",39.582,1.684,"43.562832, -75.953544",3607555453,979320
Osceola,1844,West Turin,Lewis,243,87.007,0.089,"43.565418, -75.688833",3604955497,979321
Ossian,1808,Angelica,Livingston,724,39.635,0.028,"42.514478, -77.770393",3605155508,979322
Ossining,1845,Mount Pleasant,Westchester,"40,061",11.556,4.168,"41.157624, -73.855497",3611955541,979323
Oswegatchie,1802,Lisbon,St. Lawrence,"4,158",65.498,5.705,"44.630179, -75.490706",3608955563,979324
Oswego,1818,Hannibal,Oswego,"7,914",27.333,2.016,"43.402443, -76.555037",3607555585,979326
Otego,1822,Franklin and Unadilla,Otsego,"2,756",45.633,0.076,"42.455996, -75.191937",3607755629,979327
Otisco,1806,"Marcellus, Pompey and Tully",Onondaga,"2,368",29.532,1.629,"42.862345, -76.227534",3606755651,979328
Otsego,1788,,Otsego,"3,641",53.890,5.162,"42.759357, -74.963246",3607755695,979329
Otselic,1817,German,Chenango,859,37.977,0.067,"42.682876, -75.737515",3601755717,979330
Otto,1823,Perrysburg,Cattaraugus,777,32.730,0.117,"42.399472, -78.843783",3600955783,979331
Ovid,1794,,Seneca,"2,847",30.861,7.893,"42.650033, -76.796042",3609955827,979332
Owasco,1802,Aurelius,Cayuga,"3,552",20.881,2.594,"42.893765, -76.493283",3601155871,979333
Owego,1800,Union,Tioga,"18,777",104.221,1.522,"42.085789, -76.195197",3610755893,979334
Oxford,1793,Jericho and Union,Chenango,"3,614",60.063,0.352,"42.397073, -75.596228",3601755959,979335
Oyster Bay,1788,Oyster Bay Patent,Nassau,"301,332",103.747,65.652,"40.797850, -73.511027",3605956000,979336
Palatine,1788,Palatine District,Montgomery,"3,189",41.072,0.629,"42.951214, -74.536743",3605756099,979337
Palermo,1832,Volney,Oswego,"3,470",40.464,0.279,"43.367354, -76.259496",3607556154,979338
Palm Tree,2019,Monroe,Orange,"32,954",1.462,0.01,"41.340667, -74.167274",3607156185,2791540
Palmyra,1789,,Wayne,"7,403",33.435,0.234,"43.080171, -77.189141",3611756198,979339
Pamelia,1819,Brownville,Jefferson,"3,343",33.840,1.369,"44.055634, -75.909304",3604556209,979340
Paris,1792,Whitestown,Oneida,"4,332",31.476,0.015,"42.972126, -75.268197",3606556330,979341
Parish,1828,Mexico,Oswego,"2,398",41.725,0.225,"43.403463, -76.056042",3607556352,979342
Parishville,1814,Hopkinton,St. Lawrence,"2,038",98.159,3.270,"44.550545, -74.784882",3608956374,979343
Parma,1808,Northampton,Monroe,"16,217",42.023,0.960,"43.268626, -77.799747",3605556561,979344
Patterson,1795,Frederick,Putnam,"11,541",32.208,0.696,"41.484467, -73.588058",3607956748,979345
Pavilion,1841,Covington,Genesee,"2,290",35.612,0.108,"42.907121, -78.011511",3603756792,979346
Pawling,1788,Pawling's Precinct,Dutchess,"8,012",43.835,1.187,"41.568545, -73.596037",3602756825,979347
Pelham,1788,,Westchester,"13,078",2.172,0.046,"40.900458, -73.807138",3611957012,979349
Pembroke,1812,Batavia,Genesee,"4,264",41.627,0.090,"43.001529, -78.385383",3603757078,979350
Pendleton,1827,Niagara,Niagara,"7,035",27.086,0.270,"43.104129, -78.764378",3606357111,979351
Penfield,1810,Boyle,Monroe,"39,438",37.211,0.634,"43.151464, -77.444396",3605557144,979352
Perinton,1812,Boyle,Monroe,"47,479",34.186,0.360,"43.078241, -77.429678",3605557221,979353
Perry,1814,Leicester,Wyoming,"5,832",36.405,0.242,"42.753724, -78.011059",3612157254,979354
Perrysburg,1814,Hebe and Olean,Cattaraugus,"1,518",28.421,0.126,"42.481182, -79.017384",3600957298,979355
Persia,1835,Perrysburg,Cattaraugus,"2,207",20.893,0.097,"42.419658, -78.917725",3600957331,979356
Perth,1838,Amsterdam,Fulton,"3,584",26.083,0.027,"43.005407, -74.204069",3603557353,979357
Peru,1792,Plattsburgh and Willsboro,Clinton,"6,772",78.887,13.492,"44.581071, -73.563663",3601957375,979358
Petersburgh,1791,Stephentown,Rensselaer,"1,372",41.605,0.003,"42.778625, -73.327429",3608357441,979359
Pharsalia,1806,Norwich,Chenango,516,38.816,0.292,"42.597620, -75.733879",3601757507,979360
Phelps,1796,,Ontario,"6,637",64.951,0.293,"42.957092, -77.049404",3606957529,979361
Philadelphia,1821,Le Ray,Jefferson,"1,975",37.593,0.021,"44.146432, -75.706199",3604557562,979362
Philipstown,1788,Philips Precinct,Putnam,"9,831",48.785,2.785,"41.412373, -73.921362",3607957584,979363
Piercefield,1900,Hopkinton,St. Lawrence,282,104.155,6.910,"44.223107, -74.604155",3608957716,979364
Pierrepont,1818,Potsdam and Russell,St. Lawrence,"2,523",60.252,0.468,"44.528153, -75.013342",3608957771,979365
Pike,1818,Nunda,Wyoming,975,31.084,0.145,"42.567205, -78.136330",3612157826,979366
Pinckney,1808,Harrisburgh and Rodman,Lewis,313,40.973,0.142,"43.834407, -75.788975",3604957925,979367
Pine Plains,1823,North East,Dutchess,"2,218",30.583,0.589,"41.971895, -73.646798",3602758156,979368
Pitcairn,1836,Edwards and Fowler,St. Lawrence,790,58.518,0.937,"44.221791, -75.269674",3608958266,979369
Pitcher,1827,German and Lincklaen,Chenango,667,28.465,0.014,"42.587692, -75.826755",3601758288,979370
Pittsfield,1797,Burlington,Otsego,"1,312",37.986,0.116,"42.613708, -75.271482",3607758343,979371
Pittsford,1814,Smallwood,Monroe,"30,617",23.181,0.209,"43.073053, -77.526122",3605558365,979372
Pittstown,1788,Schaghticoke district,Rensselaer,"5,540",61.628,3.216,"42.866298, -73.516623",3608358398,979373
Plainfield,1799,Richfield,Otsego,922,29.500,0.000,"42.828409, -75.194691",3607758420,979374
Plattekill,1800,Marlborough,Ulster,"10,424",35.111,0.628,"41.654309, -74.074168",3611158552,979375
Plattsburgh,1788,Plattsburgh township,Clinton,"11,886",45.920,22.288,"44.692289, -73.516453",3601958585,979377
Pleasant Valley,1821,Clinton,Dutchess,"9,799",32.576,0.564,"41.770553, -73.804513",3602758695,979378
Plymouth,1806,Norwich,Chenango,"1,619",42.177,0.169,"42.605218, -75.604990",3601758772,979379
Poestenkill,1848,Sand Lake,Rensselaer,"4,322",32.355,0.220,"42.700200, -73.522487",3608358805,979380
Poland,1832,Ellicott,Chautauqua,"2,214",36.617,0.266,"42.130072, -79.120853",3601358926,979381
Pomfret,1808,Chautauqua,Chautauqua,"13,035",43.855,0.334,"42.408411, -79.331104",3601358981,979382
